subj AGE SEX RACE EDUC WRKSTAT MARITAL EARNRS INCOME RINCOME PARTYID GUNLAW PRES16 SMALLGAP TRCOURTS
84    40   2    1   13       1       1      3     12      12       1      1      1       NA       NA
85    70   1    1   12       2       4      1     12      11       5      1      1        4        5
86    28   1    2   17       1       5      1     12      12       1     NA      1       NA       NA
87    53   2    3   13       1       5      2     12       1       0     NA      1        1        8
88    46   1    1   16       3       1      2     NA      NA       0      2      1        2        3
89    55   1    1   18       1       1      2     12      12       0     NA      1        1        7
90    28   1    3   18       1       5      1      8       8       1     NA      3       NA       NA
91    42   1    1   16       3       5      1     12      12       2     NA      1        3        8
92    77   2    1   19       2       1      2     12      10       0      1      1       NA       NA
93    29   1    3   16       2       5      2     NA      NA       3     NA     NA        3        7
94    62   2    2   12       7       2     NA     NA      NA       2     NA     NA       NA       NA
95    30   2    2   16       1       5      1     12      12       2      1      1       NA       NA
96    22   1    2   14       2       5      3     NA      NA       1      1     NA        1        3
97    69   2    2   13       5       1      0     12      NA       0      1      1        1        6
98    45   1    2   16       3       4      2     12      12       0      1      1       NA       NA
99    32   2    3   12       7       1     NA     NA      NA       1     NA      1        1        3
100   60   2    1    4       7       2      1      8      NA       4      1     NA        5        1
101   48   1    3   12       1       3      1     12      12       4      2      2       NA       NA
102   81   2    3   12       5       3      2      2      NA       1      1     NA       NA       NA
103   50   1    3   18       1       1      2     NA      12       2      1      1        2        7
104   78   2    1   14       5       1      0     12      NA       4      1      2        4        8
105   56   1    1   18       3       5      1     12      12       0     NA      1        3        7
106   60   1    1   14       1       5      1     12      12       4      2      2       NA       NA
107   23   1    1   12       1       5      4     12      12       5     NA      2        4        6
108   67   2    1   12       3       5      1     NA      NA       3     NA     NA       NA        5
109   54   2    1   16       2       1      3     NA      NA       3      1     NA        1        2
110   62   2    1   14       7       1      1     12      NA       3     NA      1        4        7
111   55   2    1   14       1       3      1     12      12       0      1      1        4        5
112   56   2    1   12       2       1      2     12       9       1     NA     NA       NA       NA
